provider,token,titles_read,engineering,engineering_share,stratum
greenhouse,monumentalsports,48,3,6.3,tail
ashby,bunch,24,3,12.5,tail
greenhouse,relaypro,25,3,12.0,tail
ashby,doji,11,3,27.3,tail
ashby,miramace,12,3,25.0,tail
greenhouse,learnlux,18,3,16.7,tail
ashby,rennscotmfg,9,3,33.3,tail
ashby,8returns,8,3,37.5,tail
ashby,magentic,7,3,42.9,tail
ashby,hive.co,6,3,50.0,tail
ashby,sable,6,3,50.0,tail
ashby,wormholelabs,6,3,50.0,tail
ashby,alexai,5,3,60.0,tail
ashby,eventualcomputing,4,3,75.0,tail
ashby,julius,4,3,75.0,tail
ashby,oceanus,4,3,75.0,tail
ashby,blackstar,4,3,75.0,tail
greenhouse,apartmentiq,14,3,21.4,tail
greenhouse,ageoflearninginc,8,3,37.5,tail
lever,bis,8,3,37.5,tail
lever,liatrio,5,3,60.0,tail
greenhouse,veterinaryemergencygroupst,1130,2,0.2,head
greenhouse,ouihelp,697,2,0.3,head
ashby,allarahealth,174,2,1.1,head
greenhouse,sohohouseco,413,2,0.5,head
greenhouse,axiomtalentplatform,216,2,0.9,head
greenhouse,remotecom,210,2,1.0,head
ashby,metaview,35,2,5.7,tail
greenhouse,careaccess,37,2,5.4,tail
ashby,publiccloudgroup,17,2,11.8,tail
ashby,andela,17,2,11.8,tail
ashby,delplayagroup,10,2,20.0,tail
greenhouse,prometheusrealestategroup,30,2,6.7,tail
ashby,cara-ai,9,2,22.2,tail
greenhouse,groupon,19,2,10.5,tail
ashby,davistechnologymanagement,7,2,28.6,tail
greenhouse,kapitus,16,2,12.5,tail
ashby,slate,3,2,66.7,tail
ashby,cranston,3,2,66.7,tail
greenhouse,chronograph,12,2,16.7,tail
greenhouse,kerv,12,2,16.7,tail
greenhouse,skylighthq,8,2,25.0,tail
greenhouse,hostanalytics,10,2,20.0,tail
greenhouse,haizelabs,6,2,33.3,tail
greenhouse,cocoon,2,2,100.0,tail
greenhouse,system,5,2,40.0,tail
lever,duetti,10,2,20.0,tail
lever,zushealth,6,2,33.3,tail
greenhouse,privateequityinsights,1159,1,0.1,head
greenhouse,agency,821,1,0.1,head
greenhouse,pulse,2649,1,0.0,head
greenhouse,westernveterinarypartnersllc,476,1,0.2,head
greenhouse,horacemannagents,417,1,0.2,head
greenhouse,cfoinsights,373,1,0.3,head
greenhouse,hrtechx,287,1,0.3,head
greenhouse,setsales,278,1,0.4,head
greenhouse,retailinsights,281,1,0.4,head
greenhouse,unitedmedia,367,1,0.3,head
greenhouse,thegialliancemanagementllccompany,198,1,0.5,head
greenhouse,bursonglobalcareers,178,1,0.6,head
greenhouse,gorjana,166,1,0.6,head
lever,21hhs,323,1,0.3,head
lever,solidcore,287,1,0.3,head
lever,daniels-sharpsmart,210,1,0.5,head
lever,cogentanalytics,177,1,0.6,head
lever,flynncompanies,168,1,0.6,head
greenhouse,atbayjobs,31,1,3.2,tail
ashby,uniti,11,1,9.1,tail
ashby,vital-lyfe,12,1,8.3,tail
ashby,silnahealth.com,10,1,10.0,tail
ashby,moab,8,1,12.5,tail
greenhouse,omnicomhealth,17,1,5.9,tail
ashby,clinicallyai,6,1,16.7,tail
ashby,novel,5,1,20.0,tail
greenhouse,bouldercare,17,1,5.9,tail
ashby,nextlinklabs,3,1,33.3,tail
ashby,repeatbuilders,2,1,50.0,tail
ashby,edlink,2,1,50.0,tail
ashby,atomic-invest,1,1,100.0,tail
ashby,tenderly,2,1,50.0,tail
greenhouse,cargomatic,13,1,7.7,tail
greenhouse,jcdecaux,13,1,7.7,tail
greenhouse,stratainformationgroup,11,1,9.1,tail
greenhouse,horizontradingsolutions,9,1,11.1,tail
greenhouse,traegergrills,10,1,10.0,tail
greenhouse,clariticloudinc,8,1,12.5,tail
greenhouse,oceanx,8,1,12.5,tail
greenhouse,parsleyhealth,10,1,10.0,tail
greenhouse,wundercapital,7,1,14.3,tail
greenhouse,myheritage,6,1,16.7,tail
greenhouse,cabin,5,1,20.0,tail
greenhouse,bracebridgecapital,4,1,25.0,tail
greenhouse,opploans,4,1,25.0,tail
greenhouse,spearmintenergy,4,1,25.0,tail
greenhouse,cordial81,3,1,33.3,tail
greenhouse,episteme,2,1,50.0,tail
greenhouse,optimaldynamics,2,1,50.0,tail
greenhouse,recall,2,1,50.0,tail
greenhouse,sixfold,2,1,50.0,tail
greenhouse,0verwatch,1,1,100.0,tail
greenhouse,lazarusenterprises,1,1,100.0,tail
greenhouse,protillionbiosciences,1,1,100.0,tail
greenhouse,trinks,1,1,100.0,tail
greenhouse,workera,1,1,100.0,tail
lever,aipconnect,16,1,6.3,tail
lever,uaustin,10,1,10.0,tail
lever,fanatee,9,1,11.1,tail
lever,rezolutebio,8,1,12.5,tail
lever,younited,5,1,20.0,tail
lever,crossing-minds,4,1,25.0,tail
lever,securecodewarrior,3,1,33.3,tail
lever,appfollow,2,1,50.0,tail
greenhouse,centriaautism,1189,0,0.0,head
greenhouse,urpt,1215,0,0.0,head
greenhouse,eosfitness,2689,0,0.0,head
greenhouse,svetness,4981,0,0.0,head
ashby,renuity,456,0,0.0,head
greenhouse,blueskytelepsych,945,0,0.0,head
ashby,lilt-production,400,0,0.0,head
ashby,fira-health,260,0,0.0,head
greenhouse,bayada,2577,0,0.0,head
greenhouse,liquidpersonnel,1586,0,0.0,head
greenhouse,plscareers,786,0,0.0,head
greenhouse,housebuyersofamerica,636,0,0.0,head
greenhouse,herewithgmbh,605,0,0.0,head
greenhouse,medelitellc,511,0,0.0,head
greenhouse,geniussportssn,477,0,0.0,head
greenhouse,ecpcareers,472,0,0.0,head
greenhouse,dhpace,413,0,0.0,head
greenhouse,thesciongroupllc,387,0,0.0,head
greenhouse,vitalcaringgroup,403,0,0.0,head
greenhouse,onemedical,310,0,0.0,head
lever,boxlunch,3653,0,0.0,head
greenhouse,diginnother,302,0,0.0,head
greenhouse,convenientmd,303,0,0.0,head
greenhouse,veterinarypracticepartners,290,0,0.0,head
greenhouse,stonepatrocina,275,0,0.0,head
greenhouse,mineralystherapeutics,247,0,0.0,head
greenhouse,greenthumbindustries,247,0,0.0,head
greenhouse,accelschools,237,0,0.0,head
greenhouse,guidepostmontessori,222,0,0.0,head
lever,globalelitecareers,1752,0,0.0,head
greenhouse,marksman,216,0,0.0,head
greenhouse,jdsports,213,0,0.0,head
greenhouse,eliotcommunityhumanservices,200,0,0.0,head
greenhouse,n2publishingglassdoor,197,0,0.0,head
greenhouse,joya,192,0,0.0,head
greenhouse,lookers,186,0,0.0,head
greenhouse,otterbein,184,0,0.0,head
greenhouse,herewithinc,176,0,0.0,head
lever,lifestance,1386,0,0.0,head
lever,insomniacookies,1178,0,0.0,head
greenhouse,jdsportsfr,693,0,0.0,head
lever,paytmpayments,846,0,0.0,head
lever,destinationknot,421,0,0.0,head
lever,jetsetpilates,379,0,0.0,head
lever,buckmason,246,0,0.0,head
lever,lsaweb,225,0,0.0,head
lever,sila,210,0,0.0,head
lever,menta,187,0,0.0,head
lever,beautybarrage,193,0,0.0,head
greenhouse,thinkacademyus,96,0,0.0,tail
greenhouse,studsinc,71,0,0.0,tail
ashby,tonal,20,0,0.0,tail
greenhouse,comstock,58,0,0.0,tail
greenhouse,assetliving,39,0,0.0,tail
greenhouse,mergeworld,39,0,0.0,tail
greenhouse,kymeratherapeutics,32,0,0.0,tail
ashby,dataguard,15,0,0.0,tail
greenhouse,axisteletherapy,29,0,0.0,tail
ashby,willow-health,7,0,0.0,tail
greenhouse,verilife,20,0,0.0,tail
ashby,cyvl,5,0,0.0,tail
ashby,hiring-pros,5,0,0.0,tail
ashby,yondr,5,0,0.0,tail
ashby,resq,4,0,0.0,tail
ashby,unicourt,4,0,0.0,tail
ashby,bantamcommunications,3,0,0.0,tail
ashby,grapevine,3,0,0.0,tail
ashby,walrus,3,0,0.0,tail
ashby,brale,2,0,0.0,tail
greenhouse,broadwayventures,15,0,0.0,tail
ashby,iddqd,2,0,0.0,tail
ashby,cryptio,1,0,0.0,tail
ashby,hartbeat,1,0,0.0,tail
greenhouse,littlewordsproject,14,0,0.0,tail
greenhouse,tangogameworks,14,0,0.0,tail
ashby,nursa,1,0,0.0,tail
greenhouse,code3,11,0,0.0,tail
greenhouse,thelibragroup,10,0,0.0,tail
ashby,miri,2,0,0.0,tail
greenhouse,cashcowlouisiana,9,0,0.0,tail
greenhouse,brennan,7,0,0.0,tail
greenhouse,glcadvisors,7,0,0.0,tail
greenhouse,mbarecruitingcra,7,0,0.0,tail
greenhouse,rocketlawyer,7,0,0.0,tail
greenhouse,panteracapitalcareers,9,0,0.0,tail
greenhouse,ajboggs,6,0,0.0,tail
greenhouse,puffco,6,0,0.0,tail
greenhouse,gotutorcorps,8,0,0.0,tail
greenhouse,suntimes,6,0,0.0,tail
greenhouse,zocalohealth,6,0,0.0,tail
greenhouse,fletcherjonesmotorcars,5,0,0.0,tail
greenhouse,pippintitle,5,0,0.0,tail
greenhouse,liquidiv,5,0,0.0,tail
greenhouse,dnsfilter,4,0,0.0,tail
greenhouse,guardianrestoration,4,0,0.0,tail
greenhouse,manscaped,4,0,0.0,tail
greenhouse,creativex,6,0,0.0,tail
greenhouse,raven,4,0,0.0,tail
greenhouse,upstreamusa,4,0,0.0,tail
greenhouse,bertramcapitalmanagement,3,0,0.0,tail
greenhouse,alethea,3,0,0.0,tail
greenhouse,icon-boiler,3,0,0.0,tail
greenhouse,founders,3,0,0.0,tail
greenhouse,llrpartnersjobs,3,0,0.0,tail
greenhouse,orthosportsmedphysicaltherapyjobs,3,0,0.0,tail
greenhouse,scoutveterinarycare,3,0,0.0,tail
greenhouse,tenberke,3,0,0.0,tail
greenhouse,allenanimalhospital,2,0,0.0,tail
greenhouse,weathershieldroofingsystems,3,0,0.0,tail
greenhouse,kasisto,2,0,0.0,tail
greenhouse,grandviewvet,2,0,0.0,tail
greenhouse,meridianpartners,2,0,0.0,tail
greenhouse,bfiprep,2,0,0.0,tail
greenhouse,tribalspain,2,0,0.0,tail
greenhouse,yaleinvestmentsoffice,2,0,0.0,tail
greenhouse,athinkingape,1,0,0.0,tail
greenhouse,cuyana,1,0,0.0,tail
greenhouse,instigliofutureopportunities,1,0,0.0,tail
greenhouse,capitalgymnasticsroundrock,1,0,0.0,tail
greenhouse,getscale,1,0,0.0,tail
greenhouse,escribe,1,0,0.0,tail
greenhouse,openap,1,0,0.0,tail
greenhouse,sandstonecascade,1,0,0.0,tail
greenhouse,stonekite,1,0,0.0,tail
greenhouse,motivity,1,0,0.0,tail
lever,getlabs,56,0,0.0,tail
lever,ppsne,25,0,0.0,tail
lever,fitzmark,23,0,0.0,tail
lever,seerinteractive,12,0,0.0,tail
lever,impossiblecloud,11,0,0.0,tail
lever,lumiq-learn,7,0,0.0,tail
lever,imentor,6,0,0.0,tail
lever,resiliencelab,4,0,0.0,tail
lever,cheerz,3,0,0.0,tail
lever,leantaas,3,0,0.0,tail
lever,healthcare,2,0,0.0,tail
lever,pathpoint,2,0,0.0,tail
