provider,token,titles_read,resolved_titles,inferred_family,confidence,generic_titles,generic_assigned,not_job_share,stratum
greenhouse,housebuyersofamerica,636,532,corporate,0.716,88,88,0,head
greenhouse,herewithgmbh,605,390,healthcare,1,0,0,0,head
greenhouse,stripe,592,500,,0.364,70,0,0,head
greenhouse,feverup,592,456,,0.419,110,0,0,head
greenhouse,wundermanthompson,592,371,,0.286,72,0,0.002,head
ashby,airwallex,583,505,,0.382,45,0,0,head
greenhouse,anthropic,582,477,,0.47,71,0,0,head
lever,lyrahealth,550,516,healthcare,0.905,16,16,0,head
greenhouse,axon,516,462,,0.374,34,0,0,head
lever,bluelightconsulting,513,513,engineering,0.996,0,0,0,head
greenhouse,medelitellc,511,504,healthcare,0.954,1,1,0,head
ashby,airapps,498,446,,0.484,42,0,0,head
greenhouse,geniussportssn,477,5,healthcare,0.8,1,1,0,head
greenhouse,westernveterinarypartnersllc,476,429,healthcare,0.979,5,5,0,head
greenhouse,ecpcareers,472,408,,0.436,16,0,0,head
lever,getwingapp,470,339,,0.457,61,0,0,head
lever,cscgeneration-2,465,346,,0.451,96,0,0,head
greenhouse,doordashusa,462,369,,0.301,80,0,0,head
ashby,renuity,456,383,,0.433,21,0,0,head
greenhouse,rocketlab,452,405,,0.457,28,0,0,head
greenhouse,coupanginternal,448,373,,0.306,36,0,0,head
greenhouse,asm,444,382,,0.579,43,0,0,head
greenhouse,datadog,443,386,,0.402,31,0,0,head
greenhouse,esri,441,396,,0.472,40,0,0,head
greenhouse,morganmorganjobsapplynow,437,315,corporate,0.937,73,73,0,head
greenhouse,hellofresh,434,257,,0.366,105,0,0,head
lever,shieldai,433,399,,0.667,23,0,0,head
greenhouse,stone,428,41,,0.366,34,0,0,head
greenhouse,olsson,427,381,,0.491,39,0,0,head
greenhouse,luminishealth,423,327,healthcare,0.817,56,56,0,head
lever,destinationknot,421,273,,0.678,72,0,0.074,head
greenhouse,horacemannagents,417,28,sales_marketing,0.821,189,189,0,head
greenhouse,dhpace,413,358,skilled_trades,0.726,31,31,0,head
greenhouse,sohohouseco,413,197,,0.579,47,0,0,head
greenhouse,infuse,411,285,,0.54,82,0,0,head
greenhouse,langanengineeringandenvironmentalservicesllc,411,375,engineering_nonsoftware,0.712,20,20,0,head
greenhouse,sumup,410,249,,0.538,11,0,0,head
ashby,alpacahealth,403,390,,0.592,7,0,0,head
greenhouse,vitalcaringgroup,403,390,healthcare,0.956,4,4,0,head
greenhouse,mongodb,402,352,,0.489,41,0,0,head
ashby,lilt-production,400,161,,0.472,1,0,0,head
greenhouse,thesciongroupllc,387,326,,0.429,30,0,0,head
ashby,crusoe,381,304,,0.388,51,0,0,head
ashby,snowflake,379,343,,0.519,26,0,0,head
lever,jetsetpilates,379,240,education,0.7,134,134,0,head
greenhouse,cfoinsights,373,177,,0.446,45,0,0.3,head
greenhouse,nebius,370,303,,0.488,56,0,0,head
greenhouse,unitedmedia,367,179,,0.436,48,0,0.278,head
greenhouse,holderconstruction,367,286,,0.325,50,0,0,head
greenhouse,elastic,361,333,,0.495,15,0,0,head
greenhouse,monks,358,234,,0.402,28,0,0,head
greenhouse,zscaler,354,316,,0.329,28,0,0,head
greenhouse,waymo,345,293,,0.669,33,0,0,head
greenhouse,relativity,342,293,,0.495,21,0,0,head
greenhouse,okx,336,294,,0.371,25,0,0,head
ashby,harvey,334,298,,0.326,19,0,0,head
greenhouse,flyzipline,334,274,,0.361,34,0,0,head
greenhouse,lucidmotors,333,230,,0.335,94,0,0,head
greenhouse,okta,328,310,,0.555,13,0,0,head
greenhouse,purestorage,323,263,,0.494,20,0,0,head
lever,21hhs,323,323,healthcare,0.994,0,0,0,head
greenhouse,cloudflare,322,305,,0.498,11,0,0,head
lever,latitudeinc,314,273,,0.304,22,0,0,head
lever,gorh,312,44,,0.25,11,0,0,head
greenhouse,onemedical,310,310,healthcare,0.968,0,0,0,head
greenhouse,toast,308,296,,0.368,6,0,0,head
lever,palantir,307,251,engineering,0.817,7,7,0,head
greenhouse,powerdigitalmarketing,305,193,,0.461,23,0,0,head
greenhouse,convenientmd,303,288,healthcare,0.962,10,10,0,head
greenhouse,tegnainc,303,171,,0.386,11,0,0,head
greenhouse,onrunning,303,169,,0.444,115,0,0,head
greenhouse,diginnother,302,201,retail_food,0.826,0,0,0,head
greenhouse,canonical,302,266,,0.568,24,0,0,head
greenhouse,avepoint,302,270,,0.474,19,0,0,head
lever,arcteryx.com,302,236,,0.538,44,0,0,head
greenhouse,teampicnic,297,107,,0.439,77,0,0,head
greenhouse,loenbro,296,198,,0.5,36,0,0,head
greenhouse,agoda,291,240,,0.367,43,0,0,head
greenhouse,verkada,291,274,,0.456,11,0,0,head
greenhouse,veterinarypracticepartners,290,277,healthcare,0.993,10,10,0,head
greenhouse,braze,289,244,,0.529,26,0,0,head
greenhouse,hrtechx,287,175,,0.44,45,0,0.101,head
lever,solidcore,287,193,retail_food,0.896,22,22,0,head
ashby,clera,284,252,,0.635,14,0,0,head
lever,binance,283,238,,0.374,13,0,0,head
greenhouse,retailinsights,281,245,,0.657,6,0,0.068,head
greenhouse,brex,279,245,,0.335,29,0,0,head
ashby,applied,278,261,engineering,0.751,9,9,0,head
greenhouse,setsales,278,246,,0.638,6,0,0.068,head
ashby,legora,277,216,,0.491,46,0,0,head
greenhouse,coreweave,275,235,,0.511,22,0,0,head
greenhouse,stonepatrocina,275,7,,0.429,23,0,0,head
greenhouse,celonis,270,232,,0.405,10,0,0,head
greenhouse,revolutionmedicines,267,126,,0.389,54,0,0,head
greenhouse,charliehealth,267,106,,0.415,124,0,0,head
greenhouse,oscar,266,150,,0.3,92,0,0,head
lever,sunsrce,264,256,,0.488,5,0,0,head
ashby,fluidstack,262,187,,0.406,57,0,0,head
ashby,fira-health,260,259,healthcare,0.992,0,0,0,head
greenhouse,cssmerge,258,224,,0.317,21,0,0,head
ashby,elevenlabs,255,205,,0.483,13,0,0,head
greenhouse,wolt,255,155,,0.342,87,0,0,head
greenhouse,xai,253,212,,0.321,17,0,0,head
greenhouse,nscaleoperationsukltd,248,177,,0.39,40,0,0,head
greenhouse,roku,248,227,,0.678,19,0,0,head
greenhouse,mineralystherapeutics,247,11,,0.455,230,0,0,head
greenhouse,greenthumbindustries,247,196,,0.444,35,0,0,head
lever,buckmason,246,77,,0.506,90,0,0,head
greenhouse,samsara,245,219,,0.347,20,0,0,head
greenhouse,curaleaf,242,215,,0.553,26,0,0,head
greenhouse,accelschools,237,198,education,0.722,28,28,0,head
greenhouse,scoutmotors,237,206,,0.476,22,0,0,head
ashby,halter,235,148,,0.385,76,0,0,head
greenhouse,point72,235,176,,0.477,23,0,0,head
greenhouse,janestreet,234,200,,0.555,7,0,0,head
greenhouse,veeamsoftware,234,215,,0.423,9,0,0,head
greenhouse,gitlab,232,218,,0.518,6,0,0,head
greenhouse,astspacemobile,231,199,,0.417,17,0,0,head
greenhouse,sharkninjaoperatingllc,229,151,,0.338,42,0,0,head
greenhouse,alphasense,228,198,,0.333,16,0,0,head
greenhouse,fivetran,227,193,,0.477,25,0,0,head
lever,lsaweb,225,4,,1,26,0,0,head
greenhouse,roblox,224,208,engineering,0.76,9,9,0,head
greenhouse,adyen,222,178,,0.416,31,0,0,head
greenhouse,guidepostmontessori,222,204,education,0.995,17,17,0,head
greenhouse,sentinellabs,221,202,,0.619,13,0,0,head
greenhouse,examplecorpsandbox,220,160,,0.225,25,0,0,head
greenhouse,axiomtalentplatform,216,205,corporate,0.932,2,2,0,head
greenhouse,grvty,216,177,,0.627,19,0,0,head
greenhouse,marksman,216,169,retail_food,0.947,27,27,0,head
greenhouse,spektrum,215,161,,0.441,27,0,0,head
greenhouse,k2spacecorporation,215,195,,0.497,7,0,0,head
greenhouse,urbancompass,214,173,,0.393,36,0,0,head
greenhouse,jdsports,213,179,sales_marketing,0.866,23,23,0,head
greenhouse,dept,212,154,,0.266,30,0,0,head
greenhouse,natera,212,164,,0.61,30,0,0,head
greenhouse,icapitalnetwork,212,203,,0.571,8,0,0,head
greenhouse,scaleai,211,164,,0.646,29,0,0,head
ashby,sierra,210,180,,0.311,28,0,0,head
greenhouse,formlabs,210,165,,0.242,20,0,0,head
greenhouse,mediabrands,210,75,sales_marketing,0.747,78,78,0,head
greenhouse,remotecom,210,208,,0.697,1,0,0,head
lever,sila,210,200,skilled_trades,0.84,7,7,0,head
lever,daniels-sharpsmart,210,175,,0.577,26,0,0,head
ashby,anyone-ai,209,156,,0.532,3,0,0,head
greenhouse,wpp,209,144,,0.563,42,0,0,head
greenhouse,encora10,204,174,engineering,0.741,8,8,0,head
greenhouse,affirm,203,175,engineering,0.731,23,23,0,head
greenhouse,platacard,202,87,,0.644,25,0,0,head
greenhouse,ennoblecare,202,167,healthcare,0.898,1,1,0,head
lever,ciandt,202,183,engineering,0.842,3,3,0,head
lever,paytm,202,125,,0.344,56,0,0,head
greenhouse,eliotcommunityhumanservices,200,152,,0.586,11,0,0,head
greenhouse,pinterest,199,157,,0.561,22,0,0,head
greenhouse,block,199,180,,0.628,10,0,0,head
greenhouse,thegialliancemanagementllccompany,198,123,healthcare,0.951,0,0,0,head
greenhouse,tripactions,198,175,,0.554,18,0,0,head
greenhouse,sonyinteractiveentertainmentglobal,197,168,,0.613,16,0,0,head
greenhouse,n2publishingglassdoor,197,197,sales_marketing,1,0,0,0,head
lever,ajax,197,167,,0.305,15,0,0,head
greenhouse,quberesearchandtechnologies,195,157,engineering,0.79,5,5,0,head
ashby,saronic,194,160,,0.356,21,0,0,head
greenhouse,sezzle,193,188,,0.543,5,0,0,head
greenhouse,altentechnologyusa,193,179,,0.514,10,0,0,head
lever,beautybarrage,193,193,sales_marketing,0.99,0,0,0,head
greenhouse,joya,192,13,product_design,0.923,3,3,0,head
greenhouse,super,191,166,,0.392,12,0,0,head
greenhouse,vast,191,162,,0.407,16,0,0,head
ashby,deliveroo,190,141,,0.418,36,0,0,head
ashby,leland,188,83,,0.325,3,0,0,head
greenhouse,graphcore,188,172,engineering,0.75,11,11,0,head
ashby,iceye,187,162,,0.519,18,0,0,head
greenhouse,coinbase,187,164,,0.488,20,0,0,head
lever,menta,187,173,,0.561,12,0,0,head
greenhouse,lookers,186,135,,0.541,39,0,0,head
greenhouse,xpinc,186,42,,0.429,24,0,0,head
greenhouse,otterbein,184,138,healthcare,0.703,34,34,0,head
greenhouse,nice,183,155,,0.348,13,0,0,head
greenhouse,aegworldwide,182,95,,0.316,26,0,0,head
greenhouse,trueanomalyinc,182,160,,0.637,14,0,0,head
ashby,talkiatry,181,177,healthcare,0.881,2,2,0,head
greenhouse,apexcompanies,180,152,,0.48,8,0,0,head
ashby,formenergy,179,154,,0.37,19,0,0,head
greenhouse,oldcastlebuildingenvelope,179,122,,0.377,41,0,0,head
greenhouse,atwellgroup,178,167,,0.419,4,0,0,head
greenhouse,bursonglobalcareers,178,130,,0.662,16,0,0,head
ashby,clickhouse,177,174,,0.678,1,0,0,head
greenhouse,thetradedesk,177,153,,0.294,13,0,0,head
lever,cogentanalytics,177,146,,0.548,28,0,0,head
ashby,base-power,176,139,,0.187,25,0,0,head
greenhouse,herewithinc,176,106,healthcare,0.953,0,0,0,head
greenhouse,imc,176,114,,0.579,14,0,0,head
greenhouse,scopely,175,131,,0.298,18,0,0,head
ashby,allarahealth,174,167,healthcare,0.982,7,7,0,head
greenhouse,lakefieldveterinarygroup,174,164,healthcare,0.902,5,5,0,head
ashby,mistral.ai,172,133,,0.496,8,0,0,head
greenhouse,ebury,172,137,,0.423,7,0,0,head
greenhouse,ubiquiti,172,162,engineering,0.772,3,3,0,head
ashby,harmattan-ai,171,146,,0.616,12,0,0,head
greenhouse,airbnb,171,105,,0.457,55,0,0,head
greenhouse,flexport,171,119,,0.378,51,0,0,head
greenhouse,datavant2,170,154,corporate,0.766,11,11,0,head
greenhouse,thenewyorktimes,169,104,,0.317,13,0,0,head
greenhouse,xometry,168,153,,0.418,15,0,0,head
greenhouse,connectionshealthsolutions,168,147,healthcare,0.769,17,17,0,head
lever,flynncompanies,168,121,,0.645,24,0,0,head
ashby,checkout.com,167,135,,0.37,26,0,0,head
greenhouse,lyft,167,129,,0.535,27,0,0,head
greenhouse,gorjana,166,21,retail_food,0.714,0,0,0,head
greenhouse,optiverus,166,118,,0.661,17,0,0,head
ashby,lightspeedhq,165,131,,0.427,1,0,0,head
greenhouse,c6bank,165,33,,0.545,1,0,0,head
greenhouse,appian,162,147,,0.327,8,0,0,head
greenhouse,hasbro,162,112,,0.286,27,0,0,head
greenhouse,riotgames,162,118,,0.559,23,0,0,tail
greenhouse,boxinc,147,139,,0.432,8,0,0,tail
greenhouse,rubrik,134,110,,0.364,16,0,0,tail
greenhouse,crfamilyofcompanies,125,87,,0.667,26,0,0,tail
greenhouse,clara,117,97,,0.588,10,0,0,tail
ashby,42dot,109,92,engineering,0.707,8,8,0,tail
greenhouse,innodatainc,101,31,,0.548,66,0,0,tail
greenhouse,thinkacademyus,96,80,education,0.75,8,8,0,tail
lever,penumbrainc,90,64,,0.359,23,0,0,tail
greenhouse,tide,86,70,,0.457,13,0,0,tail
greenhouse,alphafmcroles,81,51,,0.549,24,0,0,tail
greenhouse,charlesriverassociates,77,57,,0.316,19,0,0,tail
greenhouse,orioninnovation,74,64,,0.547,4,0,0,tail
greenhouse,studsinc,71,13,retail_food,0.923,58,58,0,tail
lever,ion,69,58,,0.552,5,0,0,tail
ashby,illumio,68,54,,0.63,2,0,0,tail
greenhouse,oklo,63,54,,0.407,6,0,0,tail
lever,tkda,61,58,,0.414,0,0,0,tail
greenhouse,comstock,58,44,,0.455,10,0,0,tail
lever,getlabs,56,55,healthcare,0.982,1,1,0,tail
lever,ispace-inc,54,51,,0.529,2,0,0,tail
lever,sfeir,52,50,engineering,0.9,0,0,0,tail
lever,megaport,50,46,,0.37,2,0,0,tail
greenhouse,monumentalsports,48,43,,0.535,3,0,0,tail
greenhouse,yipitdatajobs,47,40,,0.375,7,0,0,tail
lever,synergyecp,46,45,engineering,0.956,1,1,0,tail
greenhouse,gigs,45,25,,0.36,15,0,0,tail
greenhouse,quantumspacellc,43,32,,0.438,7,0,0,tail
ashby,runway-ml,42,37,,0.324,3,0,0,tail
greenhouse,assetliving,39,21,corporate,0.905,15,15,0,tail
greenhouse,mergeworld,39,6,product_design,0.833,0,0,0,tail
greenhouse,ensafeinc,38,26,,0.346,6,0,0,tail
greenhouse,careaccess,37,33,,0.485,2,0,0,tail
greenhouse,amplitude,36,34,,0.471,2,0,0,tail
ashby,metaview,35,27,,0.667,7,0,0,tail
lever,bigblue,35,23,,0.348,5,0,0,tail
ashby,neuralconcept,34,31,,0.613,2,0,0,tail
ashby,afterquery,33,18,,0.5,11,0,0,tail
greenhouse,kymeratherapeutics,32,17,,0.588,6,0,0,tail
ashby,wetravel,31,20,,0.35,10,0,0,tail
greenhouse,atbayjobs,31,14,corporate,0.714,6,6,0,tail
greenhouse,terranorbitalcorporation,30,25,,0.48,2,0,0,tail
greenhouse,prometheusrealestategroup,30,25,,0.48,4,0,0,tail
greenhouse,axisteletherapy,29,29,healthcare,0.862,0,0,0,tail
lever,safran-ai,29,23,,0.391,0,0,0,tail
ashby,cogent-security,28,23,,0.696,2,0,0,tail
greenhouse,genezenlabs,27,21,,0.286,6,0,0,tail
lever,lochgroup,27,24,,0.375,2,0,0,tail
greenhouse,netcracker,26,18,,0.333,0,0,0,tail
lever,brindleyengineering,26,25,engineering_nonsoftware,0.72,0,0,0,tail
greenhouse,relaypro,25,25,,0.56,0,0,0,tail
lever,ppsne,25,8,,0.5,17,0,0,tail
ashby,bunch,24,22,,0.409,1,0,0,tail
greenhouse,zafinlabsamericasinc,23,21,,0.429,2,0,0,tail
lever,fitzmark,23,21,sales_marketing,0.952,2,2,0,tail
ashby,orbital,22,17,,0.471,2,0,0,tail
greenhouse,beaconbiosignals,21,15,,0.467,2,0,0,tail
greenhouse,buildops,21,16,,0.438,0,0,0,tail
greenhouse,thealleninstitute,21,18,,0.556,0,0,0,tail
lever,cloudinary,21,18,,0.5,2,0,0,tail
ashby,tonal,20,19,sales_marketing,0.737,0,0,0,tail
greenhouse,growe,20,17,,0.471,3,0,0,tail
greenhouse,verilife,20,20,retail_food,0.85,0,0,0,tail
ashby,amperos,19,13,,0.308,5,0,0,tail
ashby,quindar,19,18,,0.611,1,0,0,tail
greenhouse,groupon,19,17,,0.471,2,0,0,tail
ashby,aureliussystems,18,17,,0.529,0,0,0,tail
ashby,wealth-com,18,16,,0.375,2,0,0,tail
greenhouse,learnlux,18,9,,0.333,8,0,0,tail
greenhouse,nitrosoftwareinc,18,17,,0.412,0,0,0,tail
ashby,publiccloudgroup,17,13,,0.308,4,0,0,tail
ashby,andela,17,12,,0.583,1,0,0,tail
greenhouse,omnicomhealth,17,11,,0.455,2,0,0,tail
greenhouse,breezecash,17,15,,0.467,2,0,0,tail
greenhouse,bouldercare,17,12,healthcare,0.75,0,0,0,tail
ashby,insitro,16,9,,0.667,2,0,0,tail
greenhouse,amplemarket,16,16,,0.438,0,0,0,tail
greenhouse,kapitus,16,12,sales_marketing,0.75,4,4,0,tail
greenhouse,sourcingcour,16,16,,0.25,0,0,0,tail
lever,aipconnect,16,9,,0.333,1,0,0,tail
ashby,dataguard,15,14,,0.643,0,0,0,tail
ashby,solveintelligence,15,13,,0.462,1,0,0,tail
greenhouse,invisibletech,15,10,engineering,0.9,5,5,0,tail
greenhouse,broadwayventures,15,9,,0.667,0,0,0,tail
greenhouse,ritual,15,14,,0.643,0,0,0,tail
ashby,lunar,14,12,,0.583,2,0,0,tail
greenhouse,apartmentiq,14,12,,0.333,1,0,0,tail
greenhouse,littlewordsproject,14,9,retail_food,1,0,0,0,tail
greenhouse,tangogameworks,14,1,,1,0,0,0,tail
lever,investorflow,14,11,,0.636,2,0,0,tail
ashby,david-ai,13,9,,0.556,1,0,0,tail
ashby,st-labs,13,13,engineering,0.769,0,0,0,tail
greenhouse,cargomatic,13,11,,0.364,1,0,0,tail
greenhouse,jcdecaux,13,9,,0.333,2,0,0,tail
greenhouse,scoutspace,13,9,,0.444,4,0,0,tail
lever,sitetracker,13,12,,0.583,1,0,0,tail
ashby,classdojo,12,9,,0.444,3,0,0,tail
ashby,miramace,12,9,,0.556,1,0,0,tail
ashby,vital-lyfe,12,11,,0.545,1,0,0,tail
greenhouse,chronograph,12,9,,0.444,0,0,0,tail
greenhouse,kerv,12,11,,0.455,1,0,0,tail
greenhouse,riverai,12,7,engineering,0.714,1,1,0,tail
lever,seerinteractive,12,7,sales_marketing,1,2,2,0,tail
ashby,doji,11,8,,0.375,2,0,0,tail
ashby,peek,11,8,,0.5,2,0,0,tail
ashby,uniti,11,10,,0.5,1,0,0,tail
greenhouse,code3,11,4,,0.5,3,0,0,tail
greenhouse,madisonlogicinc,11,9,,0.444,2,0,0,tail
greenhouse,stratainformationgroup,11,9,corporate,0.889,0,0,0,tail
lever,impossiblecloud,11,9,,0.444,0,0,0,tail
ashby,delplayagroup,10,9,corporate,0.778,0,0,0,tail
ashby,linkup,10,9,,0.667,0,0,0,tail
ashby,silnahealth.com,10,9,,0.556,0,0,0,tail
greenhouse,bioptimus8,10,6,,0.667,1,0,0,tail
greenhouse,thelibragroup,10,0,,0,3,0,0,tail
greenhouse,traegergrills,10,9,,0.444,0,0,0,tail
greenhouse,hostanalytics,10,9,,0.222,1,0,0,tail
greenhouse,parsleyhealth,10,10,healthcare,0.7,0,0,0,tail
lever,duetti,10,4,,0.5,0,0,0,tail
lever,uaustin,10,8,,0.375,2,0,0,tail
ashby,cara-ai,9,8,,0.625,0,0,0,tail
ashby,lapel,9,8,,0.625,1,0,0,tail
ashby,rennscotmfg,9,7,,0.429,1,0,0,tail
greenhouse,cashcowlouisiana,9,8,sales_marketing,1,1,1,0,tail
greenhouse,horizontradingsolutions,9,7,,0.571,0,0,0,tail
greenhouse,panteracapitalcareers,9,5,corporate,1,3,3,0,tail
lever,fanatee,9,5,,0.4,1,0,0,tail
ashby,8returns,8,7,,0.429,0,0,0,tail
ashby,extropic,8,7,engineering,0.857,0,0,0,tail
ashby,moab,8,7,,0.571,1,0,0,tail
ashby,sazabi,8,7,,0.571,1,0,0,tail
greenhouse,ageoflearninginc,8,6,,0.5,0,0,0,tail
greenhouse,clariticloudinc,8,7,,0.429,1,0,0,tail
greenhouse,oceanx,8,4,,0.25,3,0,0,tail
greenhouse,skylighthq,8,7,,0.286,0,0,0,tail
greenhouse,gotutorcorps,8,3,,1,0,0,0,tail
lever,bis,8,7,,0.429,1,0,0,tail
lever,rezolutebio,8,5,,0.4,1,0,0,tail
ashby,davistechnologymanagement,7,6,,0.333,0,0,0,tail
ashby,magentic,7,5,,0.6,1,0,0,tail
ashby,willow-health,7,7,,0.571,0,0,0,tail
ashby,replicant,7,6,engineering,0.833,1,1,0,tail
greenhouse,brennan,7,4,,0.5,2,0,0,tail
greenhouse,glcadvisors,7,5,corporate,1,2,2,0,tail
greenhouse,mbarecruitingcra,7,1,,1,1,0,0,tail
greenhouse,rocketlawyer,7,3,,0.667,1,0,0,tail
greenhouse,wundercapital,7,5,,0.6,1,0,0,tail
lever,lumiq-learn,7,7,,0.571,0,0,0,tail
ashby,clinicallyai,6,3,,0.333,1,0,0,tail
ashby,hive.co,6,5,,0.6,0,0,0,tail
ashby,nuna,6,6,,0.667,0,0,0,tail
ashby,sable,6,6,,0.5,0,0,0,tail
ashby,wormholelabs,6,6,,0.5,0,0,0,tail
greenhouse,ajboggs,6,5,corporate,0.8,0,0,0,tail
greenhouse,haizelabs,6,3,,0.667,1,0,0,tail
greenhouse,myheritage,6,5,,0.4,1,0,0,tail
greenhouse,puffco,6,6,,0.5,0,0,0,tail
greenhouse,suntimes,6,3,,0.667,2,0,0,tail
greenhouse,zocalohealth,6,4,,0.75,0,0,0,tail
greenhouse,creativex,6,4,,0.75,1,0,0,tail
lever,imentor,6,4,,1,1,0,0,tail
lever,zushealth,6,5,,0.4,0,0,0,tail
ashby,cyvl,5,5,,0.6,0,0,0,tail
ashby,alexai,5,4,,0.75,0,0,0,tail
ashby,space44,5,5,engineering,1,0,0,0,tail
ashby,hiring-pros,5,4,,1,0,0,0,tail
ashby,novel,5,5,,0.6,0,0,0,tail
ashby,yondr,5,5,sales_marketing,0.8,0,0,0,tail
greenhouse,fletcherjonesmotorcars,5,4,,0.75,0,0,0,tail
greenhouse,cabin,5,3,,0.667,0,0,0,tail
greenhouse,pippintitle,5,1,,1,0,0,0,tail
greenhouse,liquidiv,5,3,,0.333,0,0,0,tail
greenhouse,system,5,3,,0.667,0,0,0,tail
lever,liatrio,5,5,,0.6,0,0,0,tail
lever,younited,5,3,,0.667,0,0,0,tail
ashby,eventualcomputing,4,4,,0.75,0,0,0,tail
ashby,julius,4,4,,0.75,0,0,0,tail
ashby,oceanus,4,4,,0.75,0,0,0,tail
ashby,resq,4,4,,0.25,0,0,0,tail
ashby,unicourt,4,4,,0.5,0,0,0,tail
ashby,blackstar,4,4,,0.75,0,0,0,tail
greenhouse,bracebridgecapital,4,3,,0.667,1,0,0,tail
greenhouse,dnsfilter,4,3,,0.667,1,0,0,tail
greenhouse,guardianrestoration,4,3,,0.667,0,0,0,tail
greenhouse,manscaped,4,1,,1,1,0,0,tail
greenhouse,opploans,4,4,,0.75,0,0,0,tail
greenhouse,raven,4,3,,0.667,1,0,0,tail
greenhouse,spearmintenergy,4,1,,1,2,0,0,tail
greenhouse,upstreamusa,4,3,,0.333,0,0,0,tail
lever,crossing-minds,4,3,,0.667,0,0,0,tail
lever,resiliencelab,4,4,,1,0,0,0,tail
ashby,bantamcommunications,3,1,,1,1,0,0,tail
ashby,grapevine,3,2,,0.5,1,0,0,tail
ashby,slate,3,2,,1,0,0,0,tail
ashby,walrus,3,3,,0.667,0,0,0,tail
ashby,nextlinklabs,3,3,,0.667,0,0,0,tail
ashby,cranston,3,2,,1,1,0,0,tail
greenhouse,bertramcapitalmanagement,3,0,,0,2,0,0,tail
greenhouse,cordial81,3,3,,0.333,0,0,0,tail
greenhouse,alethea,3,2,,1,0,0,0,tail
greenhouse,icon-boiler,3,3,,1,0,0,0,tail
greenhouse,founders,3,2,,1,0,0,0,tail
greenhouse,llrpartnersjobs,3,2,,1,1,0,0,tail
greenhouse,orthosportsmedphysicaltherapyjobs,3,2,,1,0,0,0,tail
greenhouse,scoutveterinarycare,3,3,,1,0,0,0,tail
greenhouse,tenberke,3,1,,1,1,0,0,tail
greenhouse,weathershieldroofingsystems,3,3,,1,0,0,0,tail
lever,cheerz,3,0,,0,2,0,0,tail
lever,leantaas,3,1,,1,2,0,0,tail
lever,securecodewarrior,3,2,,0.5,1,0,0,tail
ashby,brale,2,2,,0.5,0,0,0,tail
ashby,repeatbuilders,2,1,,1,0,0,0,tail
ashby,edlink,2,2,,0.5,0,0,0,tail
ashby,iddqd,2,2,,1,0,0,0,tail
ashby,tenderly,2,1,,1,0,0,0,tail
ashby,miri,2,0,,0,1,0,0,tail
greenhouse,allenanimalhospital,2,2,,1,0,0,0,tail
greenhouse,cocoon,2,2,,1,0,0,0,tail
greenhouse,episteme,2,1,,1,0,0,0,tail
greenhouse,kasisto,2,2,,0.5,0,0,0,tail
greenhouse,grandviewvet,2,2,,1,0,0,0,tail
greenhouse,meridianpartners,2,2,,1,0,0,0,tail
greenhouse,optimaldynamics,2,1,,1,0,0,0,tail
