provider,token,titles_read,recruitment_ads,volunteer_unpaid,not_jobs,not_jobs_share,stratum
greenhouse,affirm,203,0,0,0,0,head
greenhouse,platacard,202,0,0,0,0,head
greenhouse,eliotcommunityhumanservices,200,0,0,0,0,head
greenhouse,pinterest,199,0,0,0,0,head
greenhouse,sonyinteractiveentertainmentglobal,197,0,0,0,0,head
greenhouse,thegialliancemanagementllccompany,198,0,0,0,0,head
greenhouse,tripactions,198,0,0,0,0,head
greenhouse,block,199,0,0,0,0,head
greenhouse,veeamsoftware,234,0,0,0,0,head
greenhouse,n2publishingglassdoor,197,0,0,0,0,head
greenhouse,quberesearchandtechnologies,195,0,0,0,0,head
greenhouse,okta,328,0,0,0,0,head
greenhouse,sezzle,193,0,0,0,0,head
greenhouse,joya,192,0,0,0,0,head
greenhouse,icapitalnetwork,212,0,0,0,0,head
lever,cgsfederal,1427,0,0,0,0,head
greenhouse,super,191,0,0,0,0,head
greenhouse,coinbase,187,0,0,0,0,head
greenhouse,vast,191,0,0,0,0,head
greenhouse,aegworldwide,182,0,0,0,0,head
greenhouse,lookers,186,0,0,0,0,head
greenhouse,xpinc,186,0,0,0,0,head
greenhouse,otterbein,184,0,0,0,0,head
greenhouse,nice,183,0,0,0,0,head
greenhouse,trueanomalyinc,182,0,0,0,0,head
greenhouse,oldcastlebuildingenvelope,179,0,0,0,0,head
greenhouse,apexcompanies,180,0,0,0,0,head
greenhouse,atwellgroup,178,0,0,0,0,head
greenhouse,bursonglobalcareers,178,0,0,0,0,head
greenhouse,thetradedesk,177,0,0,0,0,head
greenhouse,herewithinc,176,0,0,0,0,head
greenhouse,imc,176,0,0,0,0,head
greenhouse,lakefieldveterinarygroup,174,0,0,0,0,head
greenhouse,scopely,175,0,0,0,0,head
greenhouse,ebury,172,0,0,0,0,head
greenhouse,ubiquiti,172,0,0,0,0,head
greenhouse,datavant2,170,0,0,0,0,head
greenhouse,airbnb,171,0,0,0,0,head
greenhouse,flexport,171,0,0,0,0,head
greenhouse,thenewyorktimes,169,0,0,0,0,head
greenhouse,xometry,168,0,0,0,0,head
greenhouse,connectionshealthsolutions,168,0,0,0,0,head
greenhouse,lyft,167,0,0,0,0,head
greenhouse,gorjana,166,0,0,0,0,head
greenhouse,optiverus,166,0,0,0,0,head
greenhouse,c6bank,165,0,0,0,0,head
greenhouse,appian,162,0,0,0,0,head
greenhouse,hasbro,162,0,0,0,0,head
lever,lifestance,1386,0,0,0,0,head
greenhouse,capco,754,0,0,0,0,head
lever,insomniacookies,1178,0,0,0,0,head
greenhouse,jdsportsfr,693,0,0,0,0,head
lever,paytmpayments,846,0,0,0,0,head
lever,gopuff,763,0,0,0,0,head
greenhouse,holderconstruction,367,0,0,0,0,head
greenhouse,ennoblecare,202,0,0,0,0,head
greenhouse,andurilindustries,2208,0,0,0,0,head
greenhouse,charliehealth,267,0,0,0,0,head
lever,lyrahealth,550,0,0,0,0,head
lever,bluelightconsulting,513,0,0,0,0,head
greenhouse,altentechnologyusa,193,0,0,0,0,head
greenhouse,wpp,209,0,0,0,0,head
greenhouse,graphcore,188,0,0,0,0,head
lever,cscgeneration-2,465,0,0,0,0,head
lever,getwingapp,470,0,0,0,0,head
lever,shieldai,433,0,0,0,0,head
lever,jetsetpilates,379,0,0,0,0,head
lever,21hhs,323,0,0,0,0,head
lever,latitudeinc,314,0,0,0,0,head
lever,gorh,312,0,0,0,0,head
lever,palantir,307,0,0,0,0,head
lever,arcteryx.com,302,0,0,0,0,head
lever,solidcore,287,0,0,0,0,head
lever,binance,283,0,0,0,0,head
lever,sunsrce,264,0,0,0,0,head
lever,buckmason,246,0,0,0,0,head
lever,lsaweb,225,0,0,0,0,head
lever,sila,210,0,0,0,0,head
lever,daniels-sharpsmart,210,0,0,0,0,head
lever,ciandt,202,0,0,0,0,head
lever,paytm,202,0,0,0,0,head
lever,ajax,197,0,0,0,0,head
lever,menta,187,0,0,0,0,head
lever,beautybarrage,193,0,0,0,0,head
lever,cogentanalytics,177,0,0,0,0,head
lever,flynncompanies,168,0,0,0,0,head
lever,penumbrainc,90,0,0,0,0,tail
greenhouse,clara,117,0,0,0,0,tail
greenhouse,thinkacademyus,96,0,0,0,0,tail
greenhouse,studsinc,71,0,0,0,0,tail
greenhouse,tide,86,0,0,0,0,tail
greenhouse,boxinc,147,0,0,0,0,tail
greenhouse,rubrik,134,0,0,0,0,tail
greenhouse,crfamilyofcompanies,125,0,0,0,0,tail
greenhouse,innodatainc,101,0,0,0,0,tail
greenhouse,charlesriverassociates,77,0,0,0,0,tail
greenhouse,riotgames,162,0,0,0,0,tail
ashby,illumio,68,0,0,0,0,tail
greenhouse,alphafmcroles,81,0,0,0,0,tail
greenhouse,orioninnovation,74,0,0,0,0,tail
ashby,afterquery,33,0,0,0,0,tail
ashby,amperos,19,0,0,0,0,tail
ashby,orbital,22,0,0,0,0,tail
ashby,cogent-security,28,0,0,0,0,tail
ashby,neuralconcept,34,0,0,0,0,tail
ashby,runway-ml,42,0,0,0,0,tail
ashby,tonal,20,0,0,0,0,tail
ashby,metaview,35,0,0,0,0,tail
ashby,42dot,109,0,0,0,0,tail
greenhouse,oklo,63,0,0,0,0,tail
ashby,wetravel,31,0,0,0,0,tail
greenhouse,comstock,58,0,0,0,0,tail
greenhouse,monumentalsports,48,0,0,0,0,tail
greenhouse,gigs,45,0,0,0,0,tail
greenhouse,quantumspacellc,43,0,0,0,0,tail
greenhouse,assetliving,39,0,0,0,0,tail
greenhouse,mergeworld,39,0,0,0,0,tail
ashby,bunch,24,0,0,0,0,tail
greenhouse,careaccess,37,0,0,0,0,tail
greenhouse,kymeratherapeutics,32,0,0,0,0,tail
ashby,aureliussystems,18,0,0,0,0,tail
ashby,quindar,19,0,0,0,0,tail
ashby,wealth-com,18,0,0,0,0,tail
ashby,publiccloudgroup,17,0,0,0,0,tail
ashby,andela,17,0,0,0,0,tail
ashby,insitro,16,0,0,0,0,tail
ashby,dataguard,15,0,0,0,0,tail
greenhouse,yipitdatajobs,47,0,0,0,0,tail
ashby,lunar,14,0,0,0,0,tail
ashby,solveintelligence,15,0,0,0,0,tail
greenhouse,amplitude,36,0,0,0,0,tail
ashby,david-ai,13,0,0,0,0,tail
greenhouse,atbayjobs,31,0,0,0,0,tail
greenhouse,ensafeinc,38,0,0,0,0,tail
greenhouse,terranorbitalcorporation,30,0,0,0,0,tail
greenhouse,genezenlabs,27,0,0,0,0,tail
greenhouse,axisteletherapy,29,0,0,0,0,tail
greenhouse,relaypro,25,0,0,0,0,tail
ashby,classdojo,12,0,0,0,0,tail
ashby,st-labs,13,0,0,0,0,tail
greenhouse,netcracker,26,0,0,0,0,tail
ashby,doji,11,0,0,0,0,tail
ashby,miramace,12,0,0,0,0,tail
ashby,delplayagroup,10,0,0,0,0,tail
ashby,peek,11,0,0,0,0,tail
ashby,uniti,11,0,0,0,0,tail
greenhouse,prometheusrealestategroup,30,0,0,0,0,tail
greenhouse,learnlux,18,0,0,0,0,tail
ashby,vital-lyfe,12,0,0,0,0,tail
ashby,linkup,10,0,0,0,0,tail
ashby,cara-ai,9,0,0,0,0,tail
ashby,silnahealth.com,10,0,0,0,0,tail
greenhouse,groupon,19,0,0,0,0,tail
ashby,lapel,9,0,0,0,0,tail
ashby,rennscotmfg,9,0,0,0,0,tail
ashby,8returns,8,0,0,0,0,tail
ashby,extropic,8,0,0,0,0,tail
ashby,davistechnologymanagement,7,0,0,0,0,tail
ashby,moab,8,0,0,0,0,tail
ashby,sazabi,8,0,0,0,0,tail
ashby,magentic,7,0,0,0,0,tail
greenhouse,omnicomhealth,17,0,0,0,0,tail
ashby,clinicallyai,6,0,0,0,0,tail
greenhouse,beaconbiosignals,21,0,0,0,0,tail
greenhouse,zafinlabsamericasinc,23,0,0,0,0,tail
ashby,willow-health,7,0,0,0,0,tail
ashby,hive.co,6,0,0,0,0,tail
ashby,replicant,7,0,0,0,0,tail
ashby,nuna,6,0,0,0,0,tail
ashby,sable,6,0,0,0,0,tail
greenhouse,buildops,21,0,0,0,0,tail
greenhouse,thealleninstitute,21,0,0,0,0,tail
greenhouse,growe,20,0,0,0,0,tail
ashby,wormholelabs,6,0,0,0,0,tail
greenhouse,verilife,20,0,0,0,0,tail
greenhouse,breezecash,17,0,0,0,0,tail
ashby,cyvl,5,0,0,0,0,tail
greenhouse,nitrosoftwareinc,18,0,0,0,0,tail
ashby,alexai,5,0,0,0,0,tail
ashby,space44,5,0,0,0,0,tail
ashby,hiring-pros,5,0,0,0,0,tail
ashby,novel,5,0,0,0,0,tail
greenhouse,bouldercare,17,0,0,0,0,tail
ashby,yondr,5,0,0,0,0,tail
ashby,eventualcomputing,4,0,0,0,0,tail
ashby,julius,4,0,0,0,0,tail
ashby,oceanus,4,0,0,0,0,tail
greenhouse,amplemarket,16,0,0,0,0,tail
ashby,resq,4,0,0,0,0,tail
ashby,unicourt,4,0,0,0,0,tail
ashby,blackstar,4,0,0,0,0,tail
greenhouse,kapitus,16,0,0,0,0,tail
ashby,bantamcommunications,3,0,0,0,0,tail
ashby,grapevine,3,0,0,0,0,tail
ashby,slate,3,0,0,0,0,tail
ashby,walrus,3,0,0,0,0,tail
ashby,brale,2,0,0,0,0,tail
ashby,nextlinklabs,3,0,0,0,0,tail
greenhouse,sourcingcour,16,0,0,0,0,tail
greenhouse,invisibletech,15,0,0,0,0,tail
ashby,cranston,3,0,0,0,0,tail
ashby,repeatbuilders,2,0,0,0,0,tail
ashby,edlink,2,0,0,0,0,tail
greenhouse,broadwayventures,15,0,0,0,0,tail
ashby,atomic-invest,1,0,0,0,0,tail
ashby,iddqd,2,0,0,0,0,tail
ashby,cryptio,1,0,0,0,0,tail
ashby,tenderly,2,0,0,0,0,tail
greenhouse,apartmentiq,14,0,0,0,0,tail
greenhouse,ritual,15,0,0,0,0,tail
ashby,hartbeat,1,0,0,0,0,tail
greenhouse,littlewordsproject,14,0,0,0,0,tail
greenhouse,cargomatic,13,0,0,0,0,tail
greenhouse,tangogameworks,14,0,0,0,0,tail
ashby,nursa,1,0,0,0,0,tail
greenhouse,jcdecaux,13,0,0,0,0,tail
greenhouse,scoutspace,13,0,0,0,0,tail
greenhouse,code3,11,0,0,0,0,tail
greenhouse,madisonlogicinc,11,0,0,0,0,tail
lever,ion,69,0,0,0,0,tail
greenhouse,stratainformationgroup,11,0,0,0,0,tail
greenhouse,chronograph,12,0,0,0,0,tail
greenhouse,bioptimus8,10,0,0,0,0,tail
greenhouse,kerv,12,0,0,0,0,tail
greenhouse,thelibragroup,10,0,0,0,0,tail
ashby,miri,2,0,0,0,0,tail
greenhouse,cashcowlouisiana,9,0,0,0,0,tail
greenhouse,horizontradingsolutions,9,0,0,0,0,tail
greenhouse,traegergrills,10,0,0,0,0,tail
greenhouse,riverai,12,0,0,0,0,tail
greenhouse,ageoflearninginc,8,0,0,0,0,tail
greenhouse,clariticloudinc,8,0,0,0,0,tail
greenhouse,oceanx,8,0,0,0,0,tail
greenhouse,skylighthq,8,0,0,0,0,tail
greenhouse,brennan,7,0,0,0,0,tail
greenhouse,glcadvisors,7,0,0,0,0,tail
greenhouse,hostanalytics,10,0,0,0,0,tail
greenhouse,parsleyhealth,10,0,0,0,0,tail
greenhouse,mbarecruitingcra,7,0,0,0,0,tail
greenhouse,rocketlawyer,7,0,0,0,0,tail
greenhouse,panteracapitalcareers,9,0,0,0,0,tail
greenhouse,ajboggs,6,0,0,0,0,tail
greenhouse,wundercapital,7,0,0,0,0,tail
greenhouse,haizelabs,6,0,0,0,0,tail
greenhouse,myheritage,6,0,0,0,0,tail
greenhouse,puffco,6,0,0,0,0,tail
greenhouse,gotutorcorps,8,0,0,0,0,tail
greenhouse,suntimes,6,0,0,0,0,tail
greenhouse,zocalohealth,6,0,0,0,0,tail
greenhouse,fletcherjonesmotorcars,5,0,0,0,0,tail
greenhouse,cabin,5,0,0,0,0,tail
greenhouse,pippintitle,5,0,0,0,0,tail
greenhouse,liquidiv,5,0,0,0,0,tail
greenhouse,bracebridgecapital,4,0,0,0,0,tail
greenhouse,dnsfilter,4,0,0,0,0,tail
greenhouse,guardianrestoration,4,0,0,0,0,tail
greenhouse,manscaped,4,0,0,0,0,tail
greenhouse,creativex,6,0,0,0,0,tail
greenhouse,opploans,4,0,0,0,0,tail
greenhouse,raven,4,0,0,0,0,tail
greenhouse,spearmintenergy,4,0,0,0,0,tail
greenhouse,upstreamusa,4,0,0,0,0,tail
greenhouse,bertramcapitalmanagement,3,0,0,0,0,tail
greenhouse,cordial81,3,0,0,0,0,tail
greenhouse,alethea,3,0,0,0,0,tail
greenhouse,icon-boiler,3,0,0,0,0,tail
greenhouse,founders,3,0,0,0,0,tail
greenhouse,llrpartnersjobs,3,0,0,0,0,tail
greenhouse,orthosportsmedphysicaltherapyjobs,3,0,0,0,0,tail
greenhouse,scoutveterinarycare,3,0,0,0,0,tail
greenhouse,tenberke,3,0,0,0,0,tail
greenhouse,allenanimalhospital,2,0,0,0,0,tail
greenhouse,weathershieldroofingsystems,3,0,0,0,0,tail
greenhouse,cocoon,2,0,0,0,0,tail
greenhouse,episteme,2,0,0,0,0,tail
greenhouse,kasisto,2,0,0,0,0,tail
greenhouse,grandviewvet,2,0,0,0,0,tail
greenhouse,meridianpartners,2,0,0,0,0,tail
greenhouse,optimaldynamics,2,0,0,0,0,tail
greenhouse,recall,2,0,0,0,0,tail
greenhouse,sixfold,2,0,0,0,0,tail
greenhouse,bfiprep,2,0,0,0,0,tail
greenhouse,tribalspain,2,0,0,0,0,tail
greenhouse,yaleinvestmentsoffice,2,0,0,0,0,tail
greenhouse,0verwatch,1,0,0,0,0,tail
greenhouse,athinkingape,1,0,0,0,0,tail
greenhouse,cuyana,1,0,0,0,0,tail
greenhouse,instigliofutureopportunities,1,0,0,0,0,tail
greenhouse,capitalgymnasticsroundrock,1,0,0,0,0,tail
greenhouse,getscale,1,0,0,0,0,tail
greenhouse,lazarusenterprises,1,0,0,0,0,tail
greenhouse,escribe,1,0,0,0,0,tail
greenhouse,openap,1,0,0,0,0,tail
greenhouse,protillionbiosciences,1,0,0,0,0,tail
greenhouse,sandstonecascade,1,0,0,0,0,tail
greenhouse,stonekite,1,0,0,0,0,tail
greenhouse,trinks,1,0,0,0,0,tail
greenhouse,workera,1,0,0,0,0,tail
greenhouse,motivity,1,0,0,0,0,tail
lever,tkda,61,0,0,0,0,tail
lever,getlabs,56,0,0,0,0,tail
greenhouse,system,5,0,0,0,0,tail
lever,ispace-inc,54,0,0,0,0,tail
lever,sfeir,52,0,0,0,0,tail
lever,megaport,50,0,0,0,0,tail
lever,synergyecp,46,0,0,0,0,tail
lever,bigblue,35,0,0,0,0,tail
lever,safran-ai,29,0,0,0,0,tail
lever,lochgroup,27,0,0,0,0,tail
lever,brindleyengineering,26,0,0,0,0,tail
lever,ppsne,25,0,0,0,0,tail
lever,fitzmark,23,0,0,0,0,tail
lever,cloudinary,21,0,0,0,0,tail
lever,aipconnect,16,0,0,0,0,tail
lever,investorflow,14,0,0,0,0,tail
lever,sitetracker,13,0,0,0,0,tail
lever,seerinteractive,12,0,0,0,0,tail
lever,impossiblecloud,11,0,0,0,0,tail
lever,duetti,10,0,0,0,0,tail
lever,uaustin,10,0,0,0,0,tail
lever,fanatee,9,0,0,0,0,tail
lever,bis,8,0,0,0,0,tail
lever,rezolutebio,8,0,0,0,0,tail
lever,lumiq-learn,7,0,0,0,0,tail
lever,imentor,6,0,0,0,0,tail
lever,zushealth,6,0,0,0,0,tail
lever,liatrio,5,0,0,0,0,tail
lever,younited,5,0,0,0,0,tail
lever,crossing-minds,4,0,0,0,0,tail
lever,resiliencelab,4,0,0,0,0,tail
lever,cheerz,3,0,0,0,0,tail
lever,leantaas,3,0,0,0,0,tail
lever,securecodewarrior,3,0,0,0,0,tail
lever,appfollow,2,0,0,0,0,tail
lever,healthcare,2,0,0,0,0,tail
lever,pathpoint,2,0,0,0,0,tail
